example_id                                                                   | status  | run_time        |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:4:2]                  | passed  | 0.02019 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:4:3]                  | passed  | 0.01323 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:4:4]                  | passed  | 0.03211 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:4:5]                  | passed  | 0.0387 seconds  |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:5:1]                  | passed  | 0.03315 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:5:2]                  | passed  | 0.02724 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:5:3]                  | passed  | 0.01475 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:5:4]                  | passed  | 0.01965 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:5:5]                  | passed  | 0.03552 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:2:1]                    | passed  | 0.04743 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:2:2]                    | passed  | 0.04141 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:2:3]                    | passed  | 0.05858 seconds |
./spec/domain/observers/survivor_infection_observer_spec.rb[1:1]             | passed  | 0.11449 seconds |
./spec/domain/use_cases/infect_inventory_if_gets_infected.rb[1:1:1]          | unknown |                 |
./spec/domain/use_cases/infection_report_spec.rb[1:1:1]                      | passed  | 0.03479 seconds |
./spec/domain/use_cases/infection_report_spec.rb[1:1:2]                      | passed  | 0.02037 seconds |
./spec/domain/use_cases/infection_report_spec.rb[1:1:3:1]                    | passed  | 0.08897 seconds |
./spec/domain/use_cases/infection_report_spec.rb[1:1:3:2]                    | passed  | 0.06877 seconds |
./spec/domain/use_cases/survivor_cannot_change_inventory.rb[1:1:1:1]         | unknown |                 |
./spec/domain/use_cases/survivor_cannot_change_inventory.rb[1:1:1:2]         | unknown |                 |
./spec/domain/use_cases/survivor_cannot_change_inventory.rb[1:1:1:3]         | unknown |                 |
